epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2558,0.91261,3.06089,1.26644,0.90754,0.28453,0.43311,0.24949,0.9815,3.03695,1.36546,0.000366027,0.000366027,0.000366027
2,58.9991,0.93412,1.981,1.2577,0.7444,0.35325,0.37078,0.26878,0.9352,2.23888,1.35103,0.000699911,0.000699911,0.000699911
3,85.0683,0.94189,1.71074,1.26944,0.72631,0.46885,0.51017,0.35479,0.92758,1.88737,1.44904,0.000997131,0.000997131,0.000997131
4,110.434,0.93118,1.49776,1.26251,0.87266,0.47967,0.54457,0.39004,0.9262,1.19779,1.35573,0.000946016,0.000946016,0.000946016
5,135.797,0.89044,1.27191,1.24964,0.80587,0.40421,0.50838,0.36502,0.91576,1.61721,1.36305,0.000891022,0.000891022,0.000891022
6,160.316,0.8812,1.20922,1.23586,0.86076,0.52198,0.56028,0.41933,0.8608,1.07544,1.34655,0.000836027,0.000836027,0.000836027
7,185.335,0.87349,1.10806,1.23011,0.80738,0.53376,0.56735,0.41235,0.88536,1.21216,1.30509,0.000781033,0.000781033,0.000781033
8,210.343,0.82173,1.00434,1.20449,0.76572,0.51322,0.57076,0.41694,0.87004,1.00352,1.32054,0.000726038,0.000726038,0.000726038
9,235.291,0.80904,0.97622,1.20162,0.80564,0.56832,0.60446,0.46451,0.79458,0.88414,1.26866,0.000671044,0.000671044,0.000671044
10,262.394,0.80389,0.95709,1.19074,0.81277,0.60261,0.61649,0.4655,0.79022,0.89234,1.25714,0.000616049,0.000616049,0.000616049
11,335.232,0.71956,0.94326,1.14503,0.81229,0.59353,0.62644,0.46366,0.82246,0.88736,1.27058,0.000561055,0.000561055,0.000561055
12,359.485,0.70305,0.87946,1.15039,0.80682,0.58942,0.62156,0.47407,0.75728,0.8931,1.24161,0.00050606,0.00050606,0.00050606
13,383.369,0.6646,0.81135,1.11763,0.80606,0.61774,0.6309,0.49589,0.72472,0.80319,1.19732,0.000451066,0.000451066,0.000451066
14,408.176,0.62877,0.74401,1.09436,0.78227,0.65744,0.64809,0.5006,0.72137,0.77367,1.18533,0.000396071,0.000396071,0.000396071
15,433.779,0.61036,0.68565,1.07049,0.84716,0.58836,0.6352,0.49886,0.71281,0.80813,1.18202,0.000341077,0.000341077,0.000341077
16,459.269,0.58622,0.65267,1.07005,0.84424,0.61987,0.64224,0.5164,0.68852,0.78099,1.16742,0.000286083,0.000286083,0.000286083
17,484.266,0.56834,0.61889,1.04319,0.84937,0.62725,0.65574,0.53067,0.68136,0.71825,1.16135,0.000231088,0.000231088,0.000231088
18,509.24,0.56167,0.59793,1.04836,0.88176,0.63126,0.67326,0.5408,0.67658,0.69339,1.1698,0.000176094,0.000176094,0.000176094
19,534.097,0.52699,0.55296,1.02447,0.87796,0.63131,0.66303,0.54561,0.66801,0.68968,1.15933,0.000121099,0.000121099,0.000121099
20,559.425,0.51887,0.53843,1.02524,0.8549,0.63853,0.66547,0.54614,0.66299,0.69069,1.1625,6.61045e-05,6.61045e-05,6.61045e-05
